2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.key' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`key`='k2',`oc_test`.`value`='v2' in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.key' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_test` SET `oc_test`.`key`='k2',`oc_test`.`value`='v2' in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 23:48:22 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 23:48:22 - PHP Warning:  mysqli::real_escape_string() expects parameter 1 to be string, array given in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 75
2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.0' in 'field list'<br />Error No: 1054<br />UPDATE `oc_test` SET `oc_test`.`0`='',`oc_test`.`1`='' in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.number' in 'field list'<br />Error No: 1054<br />UPDATE `oc_test` SET `oc_test`.`number`=(`oc_test`.`number` + 1) WHERE (`oc_test`.`id`='14') in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.number' in 'field list'<br />Error No: 1054<br />UPDATE `oc_test` SET `oc_test`.`number`=(`oc_test`.`number` - 1) WHERE (`oc_test`.`id`='14') in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-07 23:48:22 - PHP Notice:  Error: Unknown column 'oc_test.number' in 'field list'<br />Error No: 1054<br />UPDATE `oc_test` SET `oc_test`.`number`=(NOT `oc_test`.`number`) WHERE (`oc_test`.`id`='14') in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Warning:  mysqli::query(): MySQL server has gone away in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 19
2016-12-09 19:23:42 - PHP Warning:  mysqli::query(): Error reading result set's header in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 19
2016-12-09 19:23:42 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_currency in E:\OpenServer\domains\opencart-x.com\system\library\db\mysqli.php on line 41
2016-12-09 19:23:42 - PHP Notice:  Trying to get property of non-object in E:\OpenServer\domains\opencart-x.com\system\library\currency.php on line 15
2016-12-09 19:23:42 - PHP Warning:  Invalid argument supplied for foreach() in E:\OpenServer\domains\opencart-x.com\system\library\currency.php on line 15
